Date,Time,User Name,Message,Tag,Gender
 8 Dec 2018,7.45pm,depression quotes‏,I hate everything and I just want to die. I want to die so badly. I can't sleep and all I wish for is death -cq,#depression,Female
 8 Dec 2018,5.47pm,depression quotes‏,I feel so lonely when i don't have the right to be -cq,#depression,Female
 8 Dec 2018,5.34pm,depression quotes‏,I really fucked up this time. I need a way to let the pain out but I have no ways anymore. -cq,#depression,Female
 8 Dec 2018,5.31pm,depression quotes‏,I want to be dead. I don't want to turn 20. I'm sick of being myself -cq,#depression,Female
 8 Dec 2018,5.30pm,depression quotes‏,"I'm a horrible fucking person and I can't even tell anyone why. If I did, then would just confirm it -cq",#depression,Female
 6 Dec 2018,9.58pm,depression quotes‏,Unlovable -ga,#depression,Female
 4 Dec 2018,8.17pm,depression quotes‏,I’m so tired of thinking about you -ga,#depression,Female
 3 Dec 2018,2.33pm,depression quotes‏,You know what I hate. That point at the end of the school semester where all I want to do is kill myself -cq,#depression,Female
 2 Oct 2018,4.16pm,depression quotes‏,"again totally unrelated, but I'm currently at the bts concert and I'm so happy that I stayed for this -cq",#depression,Female
 18 Sep 2018,8.48am,depression quotes‏,I love that my friends feel that they can call me when they have an emergency. But it's also one of the most stressful situations I've ever had -cq,#depression,Female
 10 Sep 2018,7.01pm,depression quotes‏,I miss you so much-ga,#depression,Female
 10 Sep 2018,7.01pm,depression quotes‏,Hey everyone! Idk if we still use kiks on this account but mine is georgeandrew_ if you ever need someone to talk to. I hope you all are well -ga,#depression,Female
 24 Aug 2018,9.07am,depression quotes‏,"Love doesn't fix anything, but hell it makes it a lot more convincing to fight -cq",#depression,Female
 18 Jul 2018,10.34pm,depression quotes‏,"On a completely unrelated note to this Twitter, I'm going to a bts concert in October and am super excited. It's probably the only reason I haven't killed myself yet -cq",#depression,Female
 11 Jul 2018,8.36pm,depression quotes‏,Let me bleed red until its all I can see. Let me drown in my damn misery. -cq,#depression,Female
 11 Jul 2018,8.35pm,depression quotes‏,I'm so disgusting and clingy. God I hate everything and I want it all to end -cq,#depression,Female
 11 Jul 2018,8.31pm,depression quotes‏,I want to starve myself until I'm either dead or skinny -cq,#depression,Female
 30 Jun 2018,10.33am,depression quotes‏,I don’t want to feel alone anymore. -ga,#depression,Female
 11 Jun 2018,1.43am,depression quotes‏,im kinda tired of life. -rc,#depression,Female
 11 Jun 2018,1.35am,depression quotes‏,I feel like I’m losing control of everything and can’t do anything about it. -rc,#depression,Female
 15 May 2018,8.31pm,depression quotes‏,I feel alone most of the time. -ga,#depression,Female
 25 Apr 2018,9.50pm,depression quotes‏,Semesters almost over. I'm mentally exhausted. Now to make it through finals -cq,#depression,Female
 20 Apr 2018,9.28pm,depression quotes‏,im not okay and thats fine because nobody cared anyway. -rc,#depression,Female
 13 Mar 2018,10.29pm,depression quotes‏,"Why do i always try to feel my ribs through my skin and constantly touch my collar bone to see how far out it is, why? -cq",#depression,Female
 13 Mar 2018,10.26pm,depression quotes‏,"Remember when people cared? Ya, I don't -cq",#depression,Female
 13 Mar 2018,10.25pm,depression quotes‏,"I get so light headed, shaky, anxious, and dizzy when I don't eat. I love and hate the feeling. -cq",#depression,Female
 13 Mar 2018,9.35pm,depression quotes‏,Its really hard to admit you have a problem with food when everyone around you complements you on how much weight your losing -cq,#depression,Female
 13 Mar 2018,9.21pm,depression quotes‏,I literally go grocery shopping and buy nothing despite being in the store for like an hour because I can't convince myself to buy anything. -cq,#depression,Female
